step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.13465,0.4375,4.68496,0.22581
2,4.7751,0.32353,4.46056,0.28571
3,4.3217,0.36667,4.91287,0.23333
4,4.70458,0.36667,4.55105,0.28571
5,3.81214,0.47222,4.46108,0.26471
6,3.87173,0.44118,3.90015,0.34615
7,4.21585,0.35484,3.28529,0.35484
8,3.50112,0.35294,3.70048,0.3
9,3.89779,0.32143,3.48854,0.32258
10,3.53189,0.39286,3.39615,0.39394
11,2.97745,0.41667,3.03607,0.25
12,2.85115,0.32258,2.76374,0.32353
13,3.20153,0.45455,2.50027,0.34286
14,2.8539,0.46154,2.49988,0.36667
15,2.38065,0.51613,2.38817,0.36111
16,2.34448,0.45714,2.4219,0.32353
17,2.77538,0.4,2.36023,0.33333
18,2.4608,0.4375,2.46153,0.29032
19,2.17574,0.4,2.34451,0.32143
20,2.23618,0.43333,2.49832,0.3
21,2.23997,0.5,2.33665,0.32143
22,2.14327,0.5,2.39799,0.38235
23,2.31026,0.46429,2.17847,0.38462
24,2.36614,0.46667,1.86544,0.45161
25,1.86544,0.58065,1.80145,0.43333
26,2.10301,0.57692,1.7641,0.48387
27,1.87586,0.6,2.29708,0.42424
28,2.29708,0.48485,1.99846,0.4375
29,2.01718,0.57143,1.98114,0.41176
30,2.16329,0.55882,1.71643,0.51429
31,1.96487,0.5,1.65853,0.53333
32,1.96732,0.52778,1.81564,0.41667
33,1.5962,0.54839,1.86116,0.5
34,1.82286,0.54839,1.86505,0.41667
35,1.55423,0.65714,1.72958,0.3871
36,1.50111,0.5,1.78324,0.46429
37,1.78538,0.60714,1.75949,0.4
38,1.73198,0.58824,1.72778,0.5
39,1.80571,0.61765,1.7579,0.5
40,1.76669,0.64706,1.64147,0.42308
41,1.34226,0.6129,1.33566,0.48387
42,1.49325,0.54839,1.29323,0.5
43,1.32445,0.67742,1.23304,0.51613
44,1.79725,0.57576,1.76053,0.51515
45,1.6523,0.52778,1.58333,0.46875
46,1.36937,0.6,1.48083,0.44118
47,1.44759,0.6,1.25767,0.54286
48,1.68261,0.61111,1.30701,0.6
49,1.56308,0.625,1.65468,0.47222
50,1.4831,0.61538,1.52691,0.55882
51,1.48044,0.64286,1.51813,0.47222
52,1.46359,0.625,1.12411,0.54839
53,1.36939,0.61765,1.40888,0.5
54,1.12185,0.66667,1.26281,0.56667
55,1.46563,0.70588,1.41073,0.53571
56,1.36188,0.65385,1.29126,0.58824
57,1.10773,0.67742,1.28799,0.42308
58,1.28481,0.73529,1.07692,0.48387
59,1.17571,0.63333,0.98735,0.56667
60,1.06173,0.64516,1.02974,0.58065
61,1.47743,0.66667,1.45937,0.51515
62,1.11765,0.71429,1.20259,0.5
63,1.35749,0.64286,1.20069,0.47059
64,1.43853,0.57576,1.08194,0.57143
65,1.2652,0.71429,1.08154,0.66667
66,1.52148,0.61111,1.505,0.47222
67,1.13565,0.73333,1.26743,0.55882
68,0.95675,0.74194,1.3815,0.47222
69,1.3524,0.63636,0.88555,0.58065
70,1.24952,0.70588,1.15393,0.53571
71,0.93293,0.74194,1.00116,0.56667
72,1.43095,0.63889,1.1721,0.53571
73,1.15663,0.625,1.04162,0.58824
74,0.94408,0.64516,1.15404,0.46154
75,1.03775,0.79412,0.83678,0.51613
76,0.99546,0.74286,0.93209,0.6
77,1.13574,0.71429,0.85411,0.54839
78,0.76682,0.80645,1.17149,0.54545
79,1.1441,0.69231,1.00841,0.53125
80,1.31667,0.69444,1.11668,0.47059
81,0.87506,0.8,0.90763,0.62857
82,1.05045,0.7,1.03685,0.63333
83,1.02971,0.78571,1.27047,0.5
84,1.07996,0.61765,1.12862,0.58824
85,0.93428,0.73333,1.25003,0.47222
